-2.146003,-7.547186,-2.707926
-1.081301,-6.536190,-2.935670
-0.011161,-4.860504,-3.114236
0.920421,-1.835188,-3.458211
1.382386,-9.657588,-1.063852
1.934929,-7.801845,-1.379419
2.239549,-5.369186,-1.665903
1.884963,-1.800452,-1.624369
2.299199,-10.406252,0.432580
2.627707,-8.793565,0.471677
3.139986,-5.751864,0.392832
2.606375,-2.117000,0.172313
4.673319,-8.651344,3.012405
4.812110,-6.789261,2.987978
4.538217,-4.792685,2.878305
2.151964,-1.903351,2.676927
0.315578,-6.825483,2.811599
-0.950821,-4.379012,3.158906
-3.567607,0.010203,2.954593
-4.254612,1.490571,1.154555
-1.350760,-0.799547,3.380183
-4.773020,2.087003,-0.453115
-4.235964,2.151517,-2.084265
-5.730145,1.588349,-1.955216
-6.199056,1.385506,1.441092
-14.557220,1.820079,-1.856669
-20.083143,1.981870,-0.693687
0.797455,-2.572448,-2.714197
1.960618,-2.907217,-0.820019
2.310421,-3.181989,1.333820
