-8.153833,0.619162,-4.929981
-6.695153,0.901492,-4.940384
-4.749886,1.303445,-4.741952
-1.648206,1.845687,-4.268406
-10.448700,0.439289,-3.945431
-8.585168,0.964944,-3.629827
-6.176450,1.221050,-3.155297
-2.841496,2.058845,-2.135742
-11.940004,0.435297,0.326698
-10.349581,0.857134,0.273719
-7.351946,1.543861,0.022346
-3.742549,2.130702,-0.394582
-10.912867,0.754972,2.020982
-9.127945,1.292582,2.131640
-7.131853,1.588380,2.093188
-3.410162,2.068041,2.137379
-2.690585,1.296119,8.803747
-0.614108,1.233867,6.961473
2.721660,1.100170,3.087291
3.920535,1.816530,1.099044
0.120805,1.266921,3.071453
4.773020,2.087003,-0.453115
4.235964,2.151517,-2.084265
5.730145,1.588349,-1.955216
6.199056,1.385506,1.441092
14.557220,1.820079,-1.856669
20.083143,1.981870,-0.693687
-2.213629,0.855486,-3.195971
-3.512102,1.131629,-1.381958
-4.094920,1.050949,0.737168
